Syscall,Flags
"asmlinkage long sys_sync_file_range2(int fd, unsigned int flags, loff_t offset, loff_t nbytes);",None
"asmlinkage long sys_get_robust_list(int pid, struct robust_list_head __user * __user *head_ptr, size_t __user *len_ptr);",None
"asmlinkage long sys_set_robust_list(struct robust_list_head __user *head, size_t len);",None
"asmlinkage long sys_getcpu(unsigned __user *cpu, unsigned __user *node, struct getcpu_cache __user *cache);",None
"asmlinkage long sys_signalfd(int ufd, sigset_t __user *user_mask, size_t sizemask);",None
"asmlinkage long sys_signalfd4(int ufd, sigset_t __user *user_mask, size_t sizemask, int flags);",None
"asmlinkage long sys_timerfd_create(int clockid, int flags);",None
"asmlinkage long sys_timerfd_settime(int ufd, int flags, const struct itimerspec __user *utmr, struct itimerspec __user *otmr);",None
"asmlinkage long sys_timerfd_gettime(int ufd, struct itimerspec __user *otmr);",None
asmlinkage long sys_eventfd(unsigned int count);,None
"asmlinkage long sys_eventfd2(unsigned int count, int flags);",None
"asmlinkage long sys_memfd_create(const char __user *uname_ptr, unsigned int flags);",None
asmlinkage long sys_userfaultfd(int flags);,None
"asmlinkage long sys_fallocate(int fd, int mode, loff_t offset, loff_t len);",None
"asmlinkage long sys_old_readdir(unsigned int, struct old_linux_dirent __user *, unsigned int);",None
"asmlinkage long sys_pselect6(int n, fd_set __user *inp, fd_set __user *outp, fd_set __user *exp, struct timespec __user *tsp, void __user *sig);",None
"asmlinkage long sys_ppoll(struct pollfd __user *ufds, unsigned int nfds, struct timespec __user *tsp, const sigset_t __user *sigmask, size_t sigsetsize);",None
"asmlinkage long sys_fanotify_init(unsigned int flags, unsigned int event_f_flags);",None
"asmlinkage long sys_fanotify_mark(int fanotify_fd, unsigned int flags, u64 mask, int fd, const char  __user *pathname);",None
asmlinkage long sys_syncfs(int fd);,None
asmlinkage long sys_fork(void);,None
asmlinkage long sys_vfork(void);,None
"asmlinkage long sys_clone(unsigned long, unsigned long, int __user *, unsigned long, int __user *);",CONFIG_CLONE_BACKWARDS
"asmlinkage long sys_clone(unsigned long, unsigned long, int, int __user *, int __user *, unsigned long);",CONFIG_CLONE_BACKWARDS3 && ~CONFIG_CLONE_BACKWARDS
"asmlinkage long sys_clone(unsigned long clone_flags, unsigned long newsp, int __user *parent_tid, int __user *child_tid, unsigned long tls);",None
"asmlinkage long sys_execve(const char __user *filename, const char __user *const __user *argv, const char __user *const __user *envp);",None
"asmlinkage long sys_perf_event_open(struct perf_event_attr __user *attr_uptr, pid_t pid, int cpu, int group_fd, unsigned long flags);",None
"asmlinkage long sys_mmap_pgoff(unsigned long addr, unsigned long len, unsigned long prot, unsigned long flags, unsigned long fd, unsigned long pgoff);",None
asmlinkage long sys_old_mmap(struct mmap_arg_struct __user *arg);,None
"asmlinkage long sys_name_to_handle_at(int dfd, const char __user *name, struct file_handle __user *handle, int __user *mnt_id, int flag);",None
"asmlinkage long sys_open_by_handle_at(int mountdirfd, struct file_handle __user *handle, int flags);",None
"asmlinkage long sys_setns(int fd, int nstype);",None
"asmlinkage long sys_process_vm_readv(pid_t pid, const struct iovec __user *lvec, unsigned long liovcnt, const struct iovec __user *rvec, unsigned long riovcnt, unsigned long flags);",None
"asmlinkage long sys_process_vm_writev(pid_t pid, const struct iovec __user *lvec, unsigned long liovcnt, const struct iovec __user *rvec, unsigned long riovcnt, unsigned long flags);",None
"asmlinkage long sys_kcmp(pid_t pid1, pid_t pid2, int type, unsigned long idx1, unsigned long idx2);",None
"asmlinkage long sys_finit_module(int fd, const char __user *uargs, int flags);",None
"asmlinkage long sys_seccomp(unsigned int op, unsigned int flags, const char __user *uargs);",None
"asmlinkage long sys_getrandom(char __user *buf, size_t count, unsigned int flags);",None
"asmlinkage long sys_bpf(int cmd, union bpf_attr *attr, unsigned int size);",None
"asmlinkage long sys_execveat(int dfd, const char __user *filename, const char __user *const __user *argv, const char __user *const __user *envp, int flags);",None
"asmlinkage long sys_membarrier(int cmd, int flags);",None
"asmlinkage long sys_copy_file_range(int fd_in, loff_t __user *off_in, int fd_out, loff_t __user *off_out, size_t len, unsigned int flags);",None
"asmlinkage long sys_mlock2(unsigned long start, size_t len, int flags);",None
"asmlinkage long sys_pkey_mprotect(unsigned long start, size_t len, unsigned long prot, int pkey);",None
"asmlinkage long sys_pkey_alloc(unsigned long flags, unsigned long init_val);",None
asmlinkage long sys_pkey_free(int pkey);,None
"asmlinkage long sys_statx(int dfd, const char __user *path, unsigned flags, unsigned mask, struct statx __user *buffer);",None
